PatchID,PatchMonth,PatchReleaseDate,DeviceID,PatchStatus,InstallDate,DaysToInstall
P00092,2025-03,2025-03-10,D019,Pending,,
P00093,2025-04,2025-04-09,D019,Installed,2025-04-14,5
P00094,2025-05,2025-05-12,D019,Installed,2025-05-19,7
P00095,2025-06,2025-06-10,D019,Failed,,
P00096,2025-02,2025-02-11,D020,Pending,,
P00097,2025-03,2025-03-10,D020,Installed,2025-03-14,4
P00098,2025-04,2025-04-13,D020,Pending,,
P00099,2025-05,2025-05-12,D020,Installed,2025-05-14,2
P00100,2025-06,2025-06-12,D020,Installed,2025-06-16,4
P00101,2025-02,2025-02-10,D021,Installed,2025-02-10,0
P00102,2025-03,2025-03-13,D021,Installed,2025-03-15,2
P00103,2025-04,2025-04-13,D021,Failed,,
P00104,2025-05,2025-05-13,D021,Installed,2025-05-19,6
P00105,2025-06,2025-06-13,D021,Installed,2025-06-13,0
P00106,2025-02,2025-02-09,D022,Failed,,
P00107,2025-03,2025-03-09,D022,Pending,,
P00108,2025-04,2025-04-10,D022,Installed,2025-04-10,0
P00109,2025-05,2025-05-11,D022,Installed,2025-05-16,5
P00110,2025-06,2025-06-09,D022,Installed,2025-06-15,6
P00111,2025-02,2025-02-13,D023,Failed,,
P00112,2025-03,2025-03-13,D023,Installed,2025-03-19,6
P00113,2025-04,2025-04-12,D023,Failed,,
P00114,2025-05,2025-05-13,D023,Installed,2025-05-16,3
P00115,2025-06,2025-06-12,D023,Installed,2025-06-14,2
P00116,2025-02,2025-02-12,D024,Installed,2025-02-12,0
P00117,2025-03,2025-03-13,D024,Installed,2025-03-15,2
P00118,2025-04,2025-04-10,D024,Installed,2025-04-13,3
P00119,2025-05,2025-05-09,D024,Installed,2025-05-14,5
P00120,2025-06,2025-06-12,D024,Installed,2025-06-16,4
P00121,2025-02,2025-02-10,D025,Installed,2025-02-17,7
P00122,2025-03,2025-03-12,D025,Installed,2025-03-15,3
P00123,2025-04,2025-04-09,D025,Installed,2025-04-16,7
P00124,2025-05,2025-05-10,D025,Failed,,
P00125,2025-06,2025-06-11,D025,Installed,2025-06-13,2
P00126,2025-02,2025-02-13,D026,Installed,2025-02-18,5
P00127,2025-03,2025-03-09,D026,Installed,2025-03-11,2
P00128,2025-04,2025-04-10,D026,Installed,2025-04-17,7
P00129,2025-05,2025-05-12,D026,Pending,,
P00130,2025-06,2025-06-11,D026,Installed,2025-06-18,7
P00131,2025-02,2025-02-10,D027,Installed,2025-02-14,4
P00132,2025-03,2025-03-11,D027,Installed,2025-03-15,4
P00133,2025-04,2025-04-12,D027,Pending,,
P00134,2025-05,2025-05-11,D027,Installed,2025-05-16,5
P00135,2025-06,2025-06-11,D027,Installed,2025-06-12,1
P00136,2025-02,2025-02-09,D028,Installed,2025-02-16,7
P00137,2025-03,2025-03-09,D028,Failed,,
P00138,2025-04,2025-04-13,D028,Installed,2025-04-20,7
P00139,2025-05,2025-05-12,D028,Installed,2025-05-17,5
P00140,2025-06,2025-06-09,D028,Installed,2025-06-10,1
P00141,2025-02,2025-02-11,D029,Installed,2025-02-15,4
P00142,2025-03,2025-03-10,D029,Installed,2025-03-10,0
P00143,2025-04,2025-04-09,D029,Installed,2025-04-11,2
P00144,2025-05,2025-05-11,D029,Installed,2025-05-13,2
P00145,2025-06,2025-06-09,D029,Installed,2025-06-13,4
P00146,2025-02,2025-02-13,D030,Installed,2025-02-15,2
P00147,2025-03,2025-03-11,D030,Installed,2025-03-16,5
P00148,2025-04,2025-04-10,D030,Installed,2025-04-15,5
P00149,2025-05,2025-05-11,D030,Installed,2025-05-11,0
P00150,2025-06,2025-06-09,D030,Installed,2025-06-15,6
P00151,2025-02,2025-02-09,D031,Failed,,
P00152,2025-03,2025-03-12,D031,Installed,2025-03-14,2
P00153,2025-04,2025-04-11,D031,Installed,2025-04-12,1
P00154,2025-05,2025-05-10,D031,Installed,2025-05-12,2
P00155,2025-06,2025-06-10,D031,Installed,2025-06-16,6
P00156,2025-02,2025-02-09,D032,Failed,,
P00157,2025-03,2025-03-12,D032,Installed,2025-03-17,5
P00158,2025-04,2025-04-09,D032,Installed,2025-04-15,6
P00159,2025-05,2025-05-10,D032,Installed,2025-05-10,0
P00160,2025-06,2025-06-13,D032,Installed,2025-06-18,5
P00161,2025-02,2025-02-09,D033,Installed,2025-02-11,2
P00162,2025-03,2025-03-10,D033,Installed,2025-03-10,0
P00163,2025-04,2025-04-12,D033,Failed,,
P00164,2025-05,2025-05-13,D033,Installed,2025-05-14,1
P00165,2025-06,2025-06-13,D033,Installed,2025-06-20,7
P00166,2025-02,2025-02-12,D034,Pending,,
P00167,2025-03,2025-03-12,D034,Pending,,
P00168,2025-04,2025-04-09,D034,Installed,2025-04-14,5
P00169,2025-05,2025-05-13,D034,Installed,2025-05-19,6
P00170,2025-06,2025-06-11,D034,Installed,2025-06-13,2
P00171,2025-02,2025-02-11,D035,Pending,,
P00172,2025-03,2025-03-10,D035,Installed,2025-03-17,7
P00173,2025-04,2025-04-09,D035,Installed,2025-04-14,5
P00174,2025-05,2025-05-13,D035,Installed,2025-05-19,6
P00175,2025-06,2025-06-11,D035,Installed,2025-06-18,7
P00176,2025-02,2025-02-12,D036,Installed,2025-02-15,3
P00177,2025-03,2025-03-10,D036,Pending,,
P00178,2025-04,2025-04-13,D036,Installed,2025-04-16,3
P00179,2025-05,2025-05-11,D036,Installed,2025-05-14,3
P00180,2025-06,2025-06-13,D036,Installed,2025-06-20,7
P00181,2025-02,2025-02-10,D037,Installed,2025-02-13,3
P00182,2025-03,2025-03-13,D037,Installed,2025-03-14,1
P00183,2025-04,2025-04-13,D037,Pending,,
P00184,2025-05,2025-05-12,D037,Installed,2025-05-19,7
P00185,2025-06,2025-06-10,D037,Pending,,
P00186,2025-02,2025-02-13,D038,Installed,2025-02-19,6
P00187,2025-03,2025-03-13,D038,Installed,2025-03-16,3
P00188,2025-04,2025-04-13,D038,Installed,2025-04-14,1
P00189,2025-05,2025-05-10,D038,Installed,2025-05-10,0
P00190,2025-06,2025-06-12,D038,Installed,2025-06-17,5
P00191,2025-02,2025-02-09,D039,Installed,2025-02-12,3
P00192,2025-03,2025-03-12,D039,Installed,2025-03-14,2
P00193,2025-04,2025-04-12,D039,Pending,,
P00194,2025-05,2025-05-13,D039,Pending,,
P00195,2025-06,2025-06-13,D039,Installed,2025-06-18,5
P00196,2025-02,2025-02-10,D040,Installed,2025-02-15,5
P00197,2025-03,2025-03-09,D040,Pending,,
P00198,2025-04,2025-04-10,D040,Installed,2025-04-15,5
P00199,2025-05,2025-05-12,D040,Installed,2025-05-17,5
P00200,2025-06,2025-06-09,D040,Installed,2025-06-14,5
