TicketID,OpenedDate,ClosedDate,Status,Priority,Category,Technician,DeviceType,ResolutionHours
1068,2025-02-15,2025-02-16,Closed,High,Network,Alex,Mobile,5
1069,2025-02-17,,Open,Medium,Network,Chris,Desktop,
1070,2025-02-18,2025-02-19,Closed,Low,Account,Chris,Desktop,3
1071,2025-02-19,2025-02-20,Closed,High,Hardware,Alex,Laptop,10
1072,2025-02-19,2025-02-21,Closed,Medium,Hardware,Jordan,Desktop,10
1073,2025-02-20,2025-02-23,Closed,Medium,Hardware,Chris,Desktop,2
1074,2025-02-20,,Open,Low,Network,Jordan,Mobile,
1075,2025-02-21,2025-02-24,Closed,Low,Network,Jordan,Laptop,3
1076,2025-02-21,2025-02-21,Closed,Medium,Software,Jordan,Laptop,8
1077,2025-02-22,2025-02-25,Closed,High,Software,Alex,Desktop,9
1078,2025-02-23,2025-02-26,Closed,Medium,Network,Jordan,Laptop,2
1079,2025-02-24,2025-02-25,Closed,Low,Hardware,Alex,Laptop,1
1080,2025-02-25,2025-02-27,Closed,High,Network,Chris,Desktop,6
1081,2025-02-25,2025-02-25,Closed,High,Hardware,Alex,Desktop,13
1082,2025-02-25,2025-02-26,Closed,Low,Network,Jordan,Mobile,1
1083,2025-02-26,2025-02-28,Closed,Low,Hardware,Chris,Laptop,5
1084,2025-02-26,2025-03-01,Closed,Medium,Account,Alex,Desktop,3
1085,2025-02-27,2025-03-01,Closed,Low,Software,Chris,Mobile,5
1086,2025-02-27,,Open,Medium,Network,Jordan,Desktop,
1087,2025-02-28,2025-03-03,Closed,High,Account,Jordan,Laptop,13
1088,2025-02-28,2025-03-01,Closed,Medium,Hardware,Jordan,Desktop,9
1089,2025-03-01,,Open,Medium,Account,Chris,Laptop,
1090,2025-03-02,2025-03-05,Closed,Medium,Software,Chris,Desktop,9
1091,2025-03-02,,Open,Low,Software,Jordan,Mobile,
1092,2025-03-03,2025-03-06,Closed,Low,Account,Jordan,Mobile,3
1093,2025-03-03,2025-03-04,Closed,Low,Software,Jordan,Laptop,2
1094,2025-03-04,,Open,Medium,Account,Alex,Laptop,
1095,2025-03-04,2025-03-05,Closed,Medium,Account,Alex,Mobile,6
1096,2025-03-05,,Open,Medium,Network,Alex,Laptop,
1097,2025-03-05,2025-03-05,Closed,Medium,Network,Jordan,Laptop,6
1098,2025-03-05,,Open,Medium,Hardware,Jordan,Desktop,
1099,2025-03-06,2025-03-06,Closed,Medium,Account,Alex,Laptop,10
1100,2025-03-06,,Open,Medium,Software,Chris,Desktop,
1101,2025-03-06,2025-03-06,Closed,Medium,Network,Jordan,Mobile,3
1102,2025-03-07,2025-03-08,Closed,Low,Software,Chris,Laptop,1
1103,2025-03-07,2025-03-08,Closed,Medium,Network,Jordan,Laptop,6
1104,2025-03-10,2025-03-10,Closed,Medium,Software,Jordan,Laptop,2
1105,2025-03-11,2025-03-13,Closed,Low,Hardware,Jordan,Mobile,6
1106,2025-03-11,2025-03-11,Closed,Low,Network,Jordan,Laptop,4
1107,2025-03-12,2025-03-12,Closed,Medium,Hardware,Chris,Desktop,4
1108,2025-03-12,2025-03-15,Closed,Medium,Account,Alex,Mobile,9
1109,2025-03-13,2025-03-16,Closed,Low,Software,Jordan,Desktop,3
1110,2025-03-13,2025-03-15,Closed,Medium,Hardware,Jordan,Laptop,6
1111,2025-03-14,2025-03-15,Closed,High,Network,Jordan,Laptop,12
1112,2025-03-14,2025-03-16,Closed,Medium,Network,Alex,Laptop,10
1113,2025-03-15,2025-03-17,Closed,Low,Software,Chris,Laptop,5
1114,2025-03-16,,Open,Low,Hardware,Chris,Laptop,
1115,2025-03-16,2025-03-19,Closed,Medium,Account,Jordan,Desktop,5
1116,2025-03-17,2025-03-20,Closed,Medium,Software,Alex,Desktop,7
1117,2025-03-17,,Open,Medium,Hardware,Jordan,Mobile,
1118,2025-03-17,2025-03-20,Closed,Medium,Network,Alex,Desktop,7
1119,2025-03-18,,Open,High,Software,Chris,Desktop,
1120,2025-03-18,2025-03-21,Closed,Medium,Hardware,Jordan,Mobile,8
1121,2025-03-19,,Open,Medium,Hardware,Alex,Mobile,
1122,2025-03-20,,Open,Low,Network,Alex,Mobile,
1123,2025-03-20,2025-03-22,Closed,High,Software,Alex,Desktop,9
1124,2025-03-21,2025-03-24,Closed,Medium,Network,Jordan,Mobile,10
1125,2025-03-21,2025-03-21,Closed,Low,Account,Alex,Mobile,4
1126,2025-03-21,,Open,Medium,Hardware,Jordan,Laptop,
1127,2025-03-22,,Open,Low,Account,Jordan,Laptop,
1128,2025-03-23,2025-03-24,Closed,Low,Network,Chris,Mobile,4
1129,2025-03-24,2025-03-25,Closed,Low,Hardware,Jordan,Desktop,1
1130,2025-03-24,2025-03-26,Closed,Low,Account,Chris,Desktop,4
1131,2025-03-25,2025-03-27,Closed,Low,Account,Chris,Desktop,1
1132,2025-03-25,,Open,Medium,Account,Alex,Mobile,
1133,2025-03-28,,Open,Low,Software,Chris,Desktop,
1134,2025-03-31,2025-04-03,Closed,Medium,Hardware,Jordan,Desktop,4
1135,2025-03-31,2025-04-02,Closed,Medium,Account,Chris,Mobile,4
1136,2025-03-31,2025-04-02,Closed,High,Network,Jordan,Mobile,5
1137,2025-04-01,2025-04-01,Closed,Medium,Network,Chris,Desktop,8
1138,2025-04-01,2025-04-03,Closed,Medium,Network,Jordan,Mobile,8
1139,2025-04-02,2025-04-02,Closed,Low,Account,Chris,Laptop,6
1140,2025-04-03,2025-04-03,Closed,Low,Hardware,Jordan,Desktop,1
1141,2025-04-04,2025-04-05,Closed,High,Network,Chris,Mobile,10
1142,2025-04-04,2025-04-06,Closed,High,Network,Jordan,Laptop,7
1143,2025-04-04,2025-04-06,Closed,High,Account,Alex,Mobile,12
1144,2025-04-05,2025-04-06,Closed,High,Network,Alex,Mobile,14
1145,2025-04-06,2025-04-07,Closed,High,Software,Alex,Mobile,13
1146,2025-04-07,2025-04-08,Closed,High,Hardware,Jordan,Laptop,12
1147,2025-04-07,2025-04-09,Closed,Low,Hardware,Alex,Laptop,2
1148,2025-04-08,2025-04-11,Closed,Medium,Hardware,Chris,Laptop,9
1149,2025-04-08,,Open,Medium,Hardware,Jordan,Mobile,
1150,2025-04-08,2025-04-08,Closed,Medium,Account,Jordan,Mobile,2
1151,2025-04-09,2025-04-11,Closed,Medium,Network,Alex,Laptop,4
1152,2025-04-10,2025-04-13,Closed,Low,Account,Jordan,Mobile,1
1153,2025-04-10,,Open,Low,Software,Jordan,Desktop,
1154,2025-04-10,,Open,Medium,Network,Jordan,Desktop,
1155,2025-04-11,2025-04-11,Closed,High,Network,Alex,Laptop,5
1156,2025-04-11,2025-04-11,Closed,Medium,Account,Alex,Mobile,10
1157,2025-04-14,2025-04-17,Closed,Low,Software,Alex,Mobile,2
1158,2025-04-14,,Open,Medium,Account,Alex,Desktop,
1159,2025-04-15,,Open,High,Hardware,Chris,Mobile,
1160,2025-04-16,2025-04-17,Closed,Low,Account,Jordan,Laptop,2
1161,2025-04-16,2025-04-16,Closed,Medium,Software,Chris,Mobile,3
1162,2025-04-17,2025-04-17,Closed,Medium,Account,Chris,Mobile,2
1163,2025-04-17,2025-04-19,Closed,Medium,Hardware,Chris,Laptop,9
1164,2025-04-18,2025-04-18,Closed,Medium,Hardware,Jordan,Desktop,6
1165,2025-04-18,2025-04-21,Closed,Medium,Account,Alex,Laptop,2
1166,2025-04-19,2025-04-22,Closed,Low,Account,Alex,Laptop,6
1167,2025-04-19,2025-04-21,Closed,Low,Software,Chris,Mobile,1
1168,2025-04-21,2025-04-24,Closed,Medium,Network,Jordan,Laptop,2
1169,2025-04-21,,Open,Low,Network,Chris,Desktop,
1170,2025-04-21,2025-04-24,Closed,High,Software,Jordan,Mobile,12
1171,2025-04-22,2025-04-22,Closed,Medium,Hardware,Chris,Mobile,10
1172,2025-04-23,2025-04-24,Closed,High,Software,Alex,Laptop,8
1173,2025-04-23,2025-04-26,Closed,Medium,Hardware,Alex,Mobile,9
1174,2025-04-24,,Open,Medium,Account,Chris,Desktop,
1175,2025-04-25,2025-04-25,Closed,Low,Hardware,Jordan,Mobile,3
1176,2025-04-25,2025-04-25,Closed,Low,Account,Jordan,Laptop,5
1177,2025-04-25,2025-04-26,Closed,Medium,Hardware,Jordan,Mobile,7
1178,2025-04-28,2025-04-29,Closed,Medium,Network,Chris,Mobile,7
1179,2025-04-28,2025-04-28,Closed,Low,Network,Jordan,Mobile,6
1180,2025-04-29,2025-04-30,Closed,Low,Software,Jordan,Laptop,3
1181,2025-04-29,2025-04-29,Closed,Medium,Network,Alex,Mobile,6
1182,2025-04-29,2025-04-29,Closed,Medium,Account,Alex,Mobile,8
1183,2025-04-30,,Open,Low,Network,Alex,Laptop,
1184,2025-04-30,,Open,Low,Account,Alex,Mobile,
1185,2025-04-30,,Open,High,Hardware,Chris,Desktop,
1186,2025-05-01,2025-05-01,Closed,Low,Software,Chris,Desktop,4
1187,2025-05-01,2025-05-04,Closed,Medium,Network,Chris,Desktop,5
1188,2025-05-02,2025-05-05,Closed,High,Account,Chris,Mobile,11
1189,2025-05-02,,Open,Medium,Network,Alex,Laptop,
1190,2025-05-03,2025-05-03,Closed,High,Hardware,Chris,Mobile,8
1191,2025-05-04,2025-05-06,Closed,High,Hardware,Alex,Desktop,4
1192,2025-05-04,2025-05-04,Closed,Medium,Account,Alex,Desktop,7
1193,2025-05-05,2025-05-07,Closed,Low,Software,Alex,Laptop,4
1194,2025-05-05,2025-05-05,Closed,Low,Network,Jordan,Mobile,1
1195,2025-05-05,2025-05-08,Closed,Low,Software,Chris,Mobile,1
1196,2025-05-06,2025-05-09,Closed,Medium,Network,Alex,Laptop,10
1197,2025-05-06,2025-05-08,Closed,Medium,Software,Chris,Laptop,8
1198,2025-05-07,2025-05-07,Closed,Medium,Account,Alex,Mobile,8
1199,2025-05-07,,Open,Low,Network,Jordan,Desktop,
1200,2025-05-07,2025-05-07,Closed,Medium,Hardware,Jordan,Laptop,7
1201,2025-05-08,2025-05-09,Closed,High,Network,Chris,Desktop,6
1202,2025-05-08,2025-05-09,Closed,Medium,Network,Alex,Desktop,2
1203,2025-05-08,,Open,High,Account,Jordan,Mobile,
1204,2025-05-09,2025-05-11,Closed,Medium,Account,Jordan,Laptop,6
1205,2025-05-09,2025-05-12,Closed,Medium,Network,Chris,Desktop,7
1206,2025-05-12,,Open,Medium,Account,Alex,Laptop,
1207,2025-05-12,2025-05-15,Closed,Low,Network,Chris,Mobile,2
1208,2025-05-13,,Open,Medium,Network,Jordan,Mobile,
1209,2025-05-13,,Open,High,Hardware,Chris,Mobile,
1210,2025-05-14,2025-05-14,Closed,Low,Network,Alex,Laptop,2
1211,2025-05-14,,Open,Medium,Network,Chris,Laptop,
1212,2025-05-15,2025-05-18,Closed,Medium,Software,Chris,Desktop,7
1213,2025-05-16,2025-05-18,Closed,Medium,Network,Chris,Laptop,6
1214,2025-05-16,2025-05-17,Closed,Low,Account,Chris,Desktop,1
1215,2025-05-16,2025-05-16,Closed,Low,Software,Chris,Desktop,6
1216,2025-05-19,2025-05-19,Closed,Low,Account,Chris,Laptop,2
1217,2025-05-19,,Open,Low,Network,Alex,Desktop,
1218,2025-05-20,2025-05-23,Closed,Medium,Hardware,Alex,Desktop,9
1219,2025-05-20,2025-05-20,Closed,Medium,Hardware,Alex,Desktop,9
1220,2025-05-21,,Open,Medium,Software,Alex,Desktop,
1221,2025-05-21,2025-05-23,Closed,High,Hardware,Chris,Laptop,6
1222,2025-05-21,2025-05-23,Closed,High,Software,Jordan,Mobile,5
1223,2025-05-22,2025-05-23,Closed,Low,Hardware,Chris,Mobile,5
1224,2025-05-22,,Open,Low,Account,Chris,Laptop,
1225,2025-05-22,,Open,Low,Hardware,Chris,Mobile,
1226,2025-05-23,2025-05-26,Closed,Low,Account,Chris,Desktop,2
1227,2025-05-23,,Open,Medium,Account,Jordan,Laptop,
1228,2025-05-23,2025-05-24,Closed,Low,Network,Jordan,Desktop,3
1229,2025-05-26,2025-05-27,Closed,Medium,Account,Jordan,Laptop,3
1230,2025-05-26,2025-05-28,Closed,High,Network,Alex,Laptop,13
1231,2025-05-26,2025-05-29,Closed,Low,Software,Jordan,Mobile,4
1232,2025-05-27,2025-05-29,Closed,Medium,Software,Alex,Mobile,2
1233,2025-05-27,2025-05-27,Closed,Medium,Network,Jordan,Mobile,3
1234,2025-05-28,,Open,Medium,Network,Alex,Mobile,
1235,2025-05-29,2025-05-29,Closed,Medium,Account,Chris,Mobile,4
1236,2025-05-29,,Open,Medium,Account,Chris,Desktop,
1237,2025-05-29,,Open,Low,Network,Chris,Laptop,
1238,2025-05-30,2025-05-30,Closed,Medium,Software,Jordan,Mobile,4
1239,2025-05-30,2025-05-30,Closed,Medium,Account,Chris,Desktop,6
1240,2025-05-30,2025-05-30,Closed,Low,Account,Chris,Laptop,5
